Well_ID,a_750
A1,0.028
B1,0.034
C1,0.032
D1,0.035
E1,0.038
F1,0.034
G1,0.029
H1,0.036
A2,0.031
B2,0.03
C2,0.031
D2,0.033
E2,0.036
F2,0.033
G2,0.03
H2,0.033
A3,0.028
B3,0.03
C3,0.031
D3,0.031
E3,0.03
F3,0.032
G3,0.033
H3,0.037
A4,0.031
B4,0.03
C4,0.032
D4,0.029
E4,0.032
F4,0.031
G4,0.032
H4,0.03
A5,0.03
B5,0.032
C5,0.03
D5,0.035
E5,0.038
F5,0.03
G5,0.037
H5,0.031
A6,0.03
B6,0.033
C6,0.036
D6,0.033
E6,0.032
F6,0.03
G6,0.035
H6,0.036
A7,0.037
B7,0.034
C7,0.042
D7,0.035
E7,0.037
F7,0.033
G7,0.031
H7,0.03
A8,0.03
B8,0.034
C8,0.034
D8,0.033
E8,0.035
F8,0.032
G8,0.033
H8,0.03
A9,0.041
B9,0.033
C9,0.037
D9,0.034
E9,0.034
F9,0.032
G9,0.03
H9,0.029
A10,0.036
B10,0.033
C10,0.032
D10,0.029
E10,0.03
F10,0.03
G10,0.031
H10,0.029
A11,0.038
B11,0.031
C11,0.034
D11,0.029
E11,0.032
F11,0.03
G11,0.029
H11,0.034
A12,0.033
B12,0.035
C12,0.03
D12,0.032
E12,0.029
F12,0.029
G12,0.041
H12,0.029
