Well_ID,a_663
A1,0.028
B1,0.056
C1,0.087
D1,0.059
E1,0.079
F1,0.101
G1,0.062
H1,0.067
A2,0.031
B2,0.055
C2,0.09
D2,0.06
E2,0.081
F2,0.106
G2,0.068
H2,0.066
A3,0.028
B3,0.054
C3,0.09
D3,0.058
E3,0.076
F3,0.107
G3,0.071
H3,0.072
A4,0.069
B4,0.053
C4,0.049
D4,0.052
E4,0.072
F4,0.064
G4,0.071
H4,0.087
A5,0.072
B5,0.063
C5,0.049
D5,0.062
E5,0.089
F5,0.069
G5,0.083
H5,0.095
A6,0.072
B6,0.064
C6,0.054
D6,0.06
E6,0.082
F6,0.068
G6,0.081
H6,0.101
A7,0.067
B7,0.057
C7,0.096
D7,0.068
E7,0.086
F7,0.083
G7,0.066
H7,0.08
A8,0.061
B8,0.059
C8,0.09
D8,0.069
E8,0.088
F8,0.086
G8,0.072
H8,0.082
A9,0.073
B9,0.058
C9,0.096
D9,0.07
E9,0.088
F9,0.084
G9,0.068
H9,0.081
A10,0.094
B10,0.058
C10,0.078
D10,0.053
E10,0.069
F10,0.06
G10,0.047
H10,0.042
A11,0.101
B11,0.058
C11,0.086
D11,0.057
E11,0.073
F11,0.062
G11,0.046
H11,0.047
A12,0.094
B12,0.062
C12,0.081
D12,0.06
E12,0.071
F12,0.06
G12,0.06
H12,0.043
