Well_ID,a_750
A1,0.028
B1,0.034
C1,0.032
D1,0.035
E1,0.035
F1,0.031
G1,0.029
H1,0.033
A2,0.032
B2,0.03
C2,0.03
D2,0.031
E2,0.033
F2,0.031
G2,0.032
H2,0.031
A3,0.028
B3,0.03
C3,0.031
D3,0.03
E3,0.031
F3,0.032
G3,0.033
H3,0.037
A4,0.029
B4,0.033
C4,0.031
D4,0.03
E4,0.033
F4,0.031
G4,0.035
H4,0.03
A5,0.03
B5,0.031
C5,0.029
D5,0.034
E5,0.031
F5,0.029
G5,0.036
H5,0.034
A6,0.029
B6,0.032
C6,0.034
D6,0.032
E6,0.031
F6,0.031
G6,0.035
H6,0.031
A7,0.034
B7,0.033
C7,0.043
D7,0.037
E7,0.034
F7,0.032
G7,0.03
H7,0.03
A8,0.029
B8,0.033
C8,0.03
D8,0.033
E8,0.037
F8,0.032
G8,0.033
H8,0.03
A9,0.039
B9,0.031
C9,0.03
D9,0.035
E9,0.034
F9,0.031
G9,0.031
H9,0.029
A10,0.035
B10,0.034
C10,0.032
D10,0.029
E10,0.029
F10,0.03
G10,0.03
H10,0.029
A11,0.036
B11,0.037
C11,0.032
D11,0.033
E11,0.035
F11,0.031
G11,0.033
H11,0.032
A12,0.033
B12,0.035
C12,0.028
D12,0.029
E12,0.029
F12,0.03
G12,0.031
H12,0.029
