Well_ID,a_750
A1,0.029
B1,0.034
C1,0.033
D1,0.038
E1,0.036
F1,0.043
G1,0.031
H1,0.036
A2,0.03
B2,0.03
C2,0.034
D2,0.035
E2,0.039
F2,0.047
G2,0.03
H2,0.033
A3,0.028
B3,0.03
C3,0.033
D3,0.033
E3,0.037
F3,0.044
G3,0.035
H3,0.039
A4,0.031
B4,0.041
C4,0.057
D4,0.034
E4,0.036
F4,0.034
G4,0.033
H4,0.034
A5,0.03
B5,0.03
C5,0.034
D5,0.036
E5,0.032
F5,0.045
G5,0.038
H5,0.034
A6,0.029
B6,0.034
C6,0.046
D6,0.032
E6,0.044
F6,0.033
G6,0.043
H6,0.031
A7,0.04
B7,0.032
C7,0.046
D7,0.037
E7,0.037
F7,0.035
G7,0.038
H7,0.031
A8,0.03
B8,0.037
C8,0.033
D8,0.036
E8,0.035
F8,0.038
G8,0.043
H8,0.039
A9,0.041
B9,0.036
C9,0.041
D9,0.038
E9,0.036
F9,0.046
G9,0.032
H9,0.032
A10,0.039
B10,0.035
C10,0.036
D10,0.036
E10,0.035
F10,0.033
G10,0.032
H10,0.035
A11,0.049
B11,0.034
C11,0.038
D11,0.031
E11,0.038
F11,0.03
G11,0.031
H11,0.038
A12,0.035
B12,0.038
C12,0.032
D12,0.031
E12,0.04
F12,0.03
G12,0.03
H12,0.032
