Well_ID,a_663
A1,0.029
B1,0.076
C1,0.059
D1,0.072
E1,0.061
F1,0.072
G1,0.046
H1,0.064
A2,0.031
B2,0.075
C2,0.064
D2,0.073
E2,0.067
F2,0.08
G2,0.047
H2,0.058
A3,0.028
B3,0.076
C3,0.061
D3,0.069
E3,0.064
F3,0.075
G3,0.053
H3,0.067
A4,0.074
B4,0.07
C4,0.093
D4,0.052
E4,0.089
F4,0.065
G4,0.071
H4,0.052
A5,0.078
B5,0.063
C5,0.074
D5,0.056
E5,0.091
F5,0.079
G5,0.08
H5,0.053
A6,0.077
B6,0.067
C6,0.085
D6,0.051
E6,0.101
F6,0.068
G6,0.084
H6,0.051
A7,0.07
B7,0.053
C7,0.068
D7,0.077
E7,0.071
F7,0.091
G7,0.091
H7,0.039
A8,0.066
B8,0.061
C8,0.055
D8,0.076
E8,0.072
F8,0.097
G8,0.1
H8,0.047
A9,0.078
B9,0.059
C9,0.063
D9,0.08
E9,0.073
F9,0.109
G9,0.09
H9,0.041
A10,0.075
B10,0.065
C10,0.064
D10,0.098
E10,0.085
F10,0.069
G10,0.065
H10,0.077
A11,0.089
B11,0.077
C11,0.07
D11,0.102
E11,0.094
F11,0.069
G11,0.068
H11,0.085
A12,0.074
B12,0.071
C12,0.064
D12,0.102
E12,0.095
F12,0.068
G12,0.068
H12,0.078
