CowTagID,FragmentID,Treatment,Response_measurement,Initial,Final
5,5m,No_neighbor,CCcm2,2.2366610013455133,1.0846569937635218
5,5m,No_neighbor,ED,0.28141312938177176,0.1670244368079418
11,11m,No_neighbor,CCcm2,4.940477485784532,1.3326106180144648
11,11m,No_neighbor,ED,0.4567908713692938,0.06764553640339596
1,1m,No_neighbor,CCcm2,3.110142719551702,2.5720782033286538
1,1m,No_neighbor,ED,0.2941134751773049,0.24519875676759567
6,6m,No_neighbor,CCcm2,4.222657294292549,3.0681262135922345
6,6m,No_neighbor,ED,0.4348443280977313,0.22687606585056996
12,12m,No_neighbor,CCcm2,2.911313908741063,1.080938306930214
12,12m,No_neighbor,ED,0.35196481583287476,0.09166070961412694
2,2m,No_neighbor,CCcm2,3.5039188823794505,2.2153117019678557
2,2m,No_neighbor,ED,0.17463001351960344,0.17528616493916196
7,7m,No_neighbor,CCcm2,4.619539043687647,2.923574103798822
7,7m,No_neighbor,ED,0.4946439628482968,0.23337399678972703
13,13m,No_neighbor,CCcm2,4.839541604702216,1.656849951402224
13,13m,No_neighbor,ED,0.4086689611217335,0.2834292084489013
4,4m,No_neighbor,CCcm2,4.099935251359106,1.919738134506137
4,4m,No_neighbor,ED,0.489640461792193,0.19045750412314436
9,9m,No_neighbor,CCcm2,4.452596916856208,1.8508972277082885
9,9m,No_neighbor,ED,0.38181956027293423,0.07427202106649114
14,14m,No_neighbor,CCcm2,4.398658874004027,2.705303222279391
14,14m,No_neighbor,ED,0.2065760441292356,0.24482121173141225
20,20m,No_neighbor,CCcm2,2.319066491112575,1.9560331551695345
20,20m,No_neighbor,ED,0.17645766951942074,0.14446901620177055
4,4s,Dead_skeletal,CCcm2,4.099935251359106,2.9942961525473253
4,4s,Dead_skeletal,ED,0.489640461792193,0.2205646911450634
9,9s,Dead_skeletal,CCcm2,4.452596916856208,1.3528676237525694
9,9s,Dead_skeletal,ED,0.38181956027293423,0.01462551259193225
14,14s,Dead_skeletal,CCcm2,4.398658874004027,2.4241518133770734
