CowTagID,FragmentID,Treatment,Final,Initial,Response_measurement
5,5m,No_neighbor,6.494001802926288,3.973981253574004,CC_cell
11,11m,No_neighbor,19.69990466285318,4.08327755250322,CC_cell
1,1m,No_neighbor,10.489768534048979,5.185166971102054,CC_cell
6,6m,No_neighbor,13.523357794880974,4.552646016924939,CC_cell
12,12m,No_neighbor,11.792820625988448,4.652197853701986,CC_cell
2,2m,No_neighbor,12.638257575757574,8.123813981601876,CC_cell
7,7m,No_neighbor,12.52742012398665,3.912174235636811,CC_cell
13,13m,No_neighbor,5.845727617381161,5.921102487718197,CC_cell
4,4m,No_neighbor,10.07961405009744,4.853772973070774,CC_cell
9,9m,No_neighbor,24.92051786299574,5.69964289788922,CC_cell
14,14m,No_neighbor,11.05011777021722,8.610909186591115,CC_cell
20,20m,No_neighbor,13.539464769647697,7.034253968082095,CC_cell
4,4s,Dead_skeletal,13.575591528283208,4.853772973070774,CC_cell
9,9s,Dead_skeletal,92.50052709255746,5.69964289788922,CC_cell
14,14s,Dead_skeletal,14.270401106500692,8.610909186591115,CC_cell
18,18s,Dead_skeletal,87.8841684822077,3.387823573419214,CC_cell
2,2c,Conspecific,5.684238329579893,8.123813981601876,CC_cell
6,6c,Conspecific,9.580707915848913,4.552646016924939,CC_cell
15,15m,No_neighbor,16.973316517051213,4.1069848520138885,CC_cell
1,1s,Dead_skeletal,9.005041100013168,5.185166971102054,CC_cell
5,5s,Dead_skeletal,6.221607216072162,3.973981253574004,CC_cell
10,10s,Dead_skeletal,15.906287853760597,13.025237564501554,CC_cell
15,15s,Dead_skeletal,13.391630810765207,4.1069848520138885,CC_cell
19,19s,Dead_skeletal,15.219815306022205,5.136147446280144,CC_cell
3,3c,Conspecific,14.366777758288022,5.253434122995652,CC_cell
7,7c,Conspecific,9.45941545225108,3.912174235636811,CC_cell
16,16m,No_neighbor,16.205020920502097,73.47695043203164,CC_cell
2,2s,Dead_skeletal,15.044129495349006,8.123813981601876,CC_cell
6,6s,Dead_skeletal,8.55459413804877,4.552646016924939,CC_cell
11,11s,Dead_skeletal,16.47753247477282,4.08327755250322,CC_cell
16,16s,Dead_skeletal,17.057109557109555,73.47695043203164,CC_cell
20,20s,Dead_skeletal,12.377814387699068,7.034253968082095,CC_cell
4,4c,Conspecific,14.263103151992043,4.853772973070774,CC_cell
8,8c,Conspecific,42.42143906020558,11.58742116693826,CC_cell
19,19m,No_neighbor,79.10199984557177,5.136147446280144,CC_cell
3,3s,Dead_skeletal,11.814034527704626,5.253434122995652,CC_cell
7,7s,Dead_skeletal,10.116987643594943,3.912174235636811,CC_cell
13,13s,Dead_skeletal,10.003772496282982,5.921102487718197,CC_cell
17,17s,Dead_skeletal,16.607894354955743,7.009317132861739,CC_cell
1,1c,Conspecific,8.846608267085257,5.185166971102054,CC_cell
5,5c,Conspecific,8.57134472031461,3.973981253574004,CC_cell
9,9c,Conspecific,11.594650205761315,5.69964289788922,CC_cell
13,13c,Conspecific,8.505963077928444,5.921102487718197,CC_cell
18,18c,Conspecific,10.749590387766249,3.387823573419214,CC_cell
2,2h,Heterospecific,8.670052530684393,8.123813981601876,CC_cell
7,7h,Heterospecific,9.862843274612036,3.912174235636811,CC_cell
11,11h,Heterospecific,17.20674615736344,4.08327755250322,CC_cell
15,15h,Heterospecific,29.151999713815552,4.1069848520138885,CC_cell
19,19h,Heterospecific,10.883081687959738,5.136147446280144,CC_cell
10,10c,Conspecific,16.7490551776266,13.025237564501554,CC_cell
15,15c,Conspecific,12.401161460121298,4.1069848520138885,CC_cell
19,19c,Conspecific,22.818531187972475,5.136147446280144,CC_cell
4,4h,Heterospecific,8.91897394136808,4.853772973070774,CC_cell
8,8h,Heterospecific,29.28243327126008,11.58742116693826,CC_cell
12,12h,Heterospecific,8.967757807299357,4.652197853701986,CC_cell
16,16h,Heterospecific,10.255784726842611,73.47695043203164,CC_cell
20,20h,Heterospecific,15.031249999999998,7.034253968082095,CC_cell
11,11c,Conspecific,14.777668092574311,4.08327755250322,CC_cell
16,16c,Conspecific,8.38054346073214,73.47695043203164,CC_cell
20,20c,Conspecific,6.626625833817344,7.034253968082095,CC_cell
5,5h,Heterospecific,7.568592365371505,3.973981253574004,CC_cell
9,9h,Heterospecific,33.87854695882619,5.69964289788922,CC_cell
13,13h,Heterospecific,17.883692450269752,5.921102487718197,CC_cell
17,17h,Heterospecific,10.08812827967016,7.009317132861739,CC_cell
12,12c,Conspecific,22.477523981589023,4.652197853701986,CC_cell
17,17c,Conspecific,10.377194390922714,7.009317132861739,CC_cell
1,1h,Heterospecific,8.61240782085109,5.185166971102054,CC_cell
6,6h,Heterospecific,29.017960194803376,4.552646016924939,CC_cell
10,10h,Heterospecific,16.434933149782033,13.025237564501554,CC_cell
14,14h,Heterospecific,8.424369210297353,8.610909186591115,CC_cell
18,18h,Heterospecific,12.70321514982319,3.387823573419214,CC_cell
