Trial,Quantum_flux,Avg_quantum_flux
1,0,0
2,60,57
2,47,57
2,55,57
2,50,57
2,64,57
2,67,57
3,140,144
3,157,144
3,155,144
3,133,144
3,135,144
4,180,219
4,245,219
4,228,219
4,250,219
4,200,219
4,210,219
5,260,300
5,310,300
5,305,300
5,335,300
5,300,300
5,288,300
6,474,435
6,453,435
6,407,435
6,434,435
6,443,435
6,405,435
7,619,573
7,544,573
7,603,573
7,548,573
7,545,573
7,579,573
8,800,809
8,850,809
8,852,809
8,743,809
8,770,809
8,832,809
