Site,CowTagID,LoggerID,Date_launched,Date_retrieved,Notes,date_launched,temp,date,time,logging,minTemp,maxTemp,meanTemp,rangeTemp,cvTemp
Varari,V1,340,2021-08-03T18:00:00Z,2021-08-11T16:00:00Z,NA,2021-08-03,27.53337278,2021-08-03,18:20:00,1,26.22,28.78988166,27.30240773707563,2.56988166,0.01956966654541752
Varari,V1,340,2021-08-03T18:00:00Z,2021-08-11T16:00:00Z,NA,2021-08-03,27.46254438,2021-08-03,18:40:00,1,26.22,28.78988166,27.30240773707563,2.56988166,0.01956966654541752
Varari,V1,340,2021-08-03T18:00:00Z,2021-08-11T16:00:00Z,NA,2021-08-03,27.37171598,2021-08-03,19:00:00,1,26.22,28.78988166,27.30240773707563,2.56988166,0.01956966654541752
Varari,V1,340,2021-08-03T18:00:00Z,2021-08-11T16:00:00Z,NA,2021-08-03,27.31088757,2021-08-03,19:20:00,1,26.22,28.78988166,27.30240773707563,2.56988166,0.01956966654541752
Varari,V1,340,2021-08-03T18:00:00Z,2021-08-11T16:00:00Z,NA,2021-08-03,27.26005917,2021-08-03,19:40:00,1,26.22,28.78988166,27.30240773707563,2.56988166,0.01956966654541752
Varari,V1,340,2021-08-03T18:00:00Z,2021-08-11T16:00:00Z,NA,2021-08-03,27.22923077,2021-08-03,20:00:00,1,26.22,28.78988166,27.30240773707563,2.56988166,0.01956966654541752
Varari,V1,340,2021-08-03T18:00:00Z,2021-08-11T16:00:00Z,NA,2021-08-03,27.13840237,2021-08-03,20:20:00,1,26.22,28.78988166,27.30240773707563,2.56988166,0.01956966654541752
Varari,V1,340,2021-08-03T18:00:00Z,2021-08-11T16:00:00Z,NA,2021-08-03,27.11757396,2021-08-03,20:40:00,1,26.22,28.78988166,27.30240773707563,2.56988166,0.01956966654541752
Varari,V1,340,2021-08-03T18:00:00Z,2021-08-11T16:00:00Z,NA,2021-08-03,27.07674556,2021-08-03,21:00:00,1,26.22,28.78988166,27.30240773707563,2.56988166,0.01956966654541752
Varari,V1,340,2021-08-03T18:00:00Z,2021-08-11T16:00:00Z,NA,2021-08-03,27.02591716,2021-08-03,21:20:00,1,26.22,28.78988166,27.30240773707563,2.56988166,0.01956966654541752
Varari,V1,340,2021-08-03T18:00:00Z,2021-08-11T16:00:00Z,NA,2021-08-03,26.97508876,2021-08-03,21:40:00,1,26.22,28.78988166,27.30240773707563,2.56988166,0.01956966654541752
Varari,V1,340,2021-08-03T18:00:00Z,2021-08-11T16:00:00Z,NA,2021-08-03,26.96426036,2021-08-03,22:00:00,1,26.22,28.78988166,27.30240773707563,2.56988166,0.01956966654541752
Varari,V1,340,2021-08-03T18:00:00Z,2021-08-11T16:00:00Z,NA,2021-08-03,26.96343195,2021-08-03,22:20:00,1,26.22,28.78988166,27.30240773707563,2.56988166,0.01956966654541752
Varari,V1,340,2021-08-03T18:00:00Z,2021-08-11T16:00:00Z,NA,2021-08-03,26.95260355,2021-08-03,22:40:00,1,26.22,28.78988166,27.30240773707563,2.56988166,0.01956966654541752
Varari,V1,340,2021-08-03T18:00:00Z,2021-08-11T16:00:00Z,NA,2021-08-03,26.93177515,2021-08-03,23:00:00,1,26.22,28.78988166,27.30240773707563,2.56988166,0.01956966654541752
Varari,V1,340,2021-08-03T18:00:00Z,2021-08-11T16:00:00Z,NA,2021-08-03,26.92094675,2021-08-03,23:20:00,1,26.22,28.78988166,27.30240773707563,2.56988166,0.01956966654541752
Varari,V1,340,2021-08-03T18:00:00Z,2021-08-11T16:00:00Z,NA,2021-08-03,26.89011834,2021-08-03,23:40:00,1,26.22,28.78988166,27.30240773707563,2.56988166,0.01956966654541752
Varari,V1,340,2021-08-03T18:00:00Z,2021-08-11T16:00:00Z,NA,2021-08-03,26.86928994,2021-08-04,00:00:00,1,26.22,28.78988166,27.30240773707563,2.56988166,0.01956966654541752
