CowTagID,Predictor_measurement,Predictor_scaled
1,min_Temperature_C,-0.04883087744114497
1,max_Temperature_C,0.12406460553836428
1,mean_Temperature_C,-0.6002115918690129
1,range_Temperature_C,0.14077713864559158
1,cv_Temperature_C,1.5619974923451447
1,min_Ammonia_umolL,0.9105866213049617
1,max_Ammonia_umolL,-0.33241059016684305
1,mean_Ammonia_umolL,-0.020825329211803148
1,range_Ammonia_umolL,-0.511950890898582
1,cv_Ammonia_umolL,-0.9493817972273947
1,min_NN_umolL,0.8971852600261299
1,max_NN_umolL,-0.05523344298865703
1,mean_NN_umolL,0.636731363585873
1,range_NN_umolL,-0.38237023533808157
1,cv_NN_umolL,-0.5593470909890045
1,min_pH,-0.04649906174521406
1,max_pH,-0.2020952939199156
1,mean_pH,-0.04938451024318103
1,range_pH,-0.06723424371372196
1,cv_pH,-0.04345642930245411
1,min_Phosphate_umolL,0.04050629495418427
1,max_Phosphate_umolL,-0.7247454537258202
1,mean_Phosphate_umolL,-0.42313418231505284
1,range_Phosphate_umolL,-0.6616254476047678
1,cv_Phosphate_umolL,-0.750630868255956
1,min_Salinity,-0.6656986060646294
1,max_Salinity,-1.4236104336041453
1,mean_Salinity,-1.160722692320618
1,range_Salinity,-0.1562517846842839
1,cv_Salinity,-0.09726440805748955
1,min_Silicate_umolL,-0.030839319310300456
1,max_Silicate_umolL,0.25564301204099626
1,mean_Silicate_umolL,0.5381369032317764
1,range_Silicate_umolL,0.2559993800312503
1,cv_Silicate_umolL,0.03933498750409014
1,del15N,0.8236790581009629
1,N_percent,-0.8801989440116408
2,min_Temperature_C,0.40019999547994584
2,max_Temperature_C,1.0197015270514076
2,mean_Temperature_C,0.9249559681287189
2,range_Temperature_C,0.5910998526407787
2,cv_Temperature_C,0.1843532595141906
2,min_Ammonia_umolL,0.1722731445712091
2,max_Ammonia_umolL,3.7925525089332557
2,mean_Ammonia_umolL,3.474452897958345
2,range_Ammonia_umolL,3.892415975368598
2,cv_Ammonia_umolL,2.9656110613219613
2,min_NN_umolL,1.6972230715143979
2,max_NN_umolL,0.803953447946004
2,mean_NN_umolL,1.4064536298414625
2,range_NN_umolL,0.1994975140894342
2,cv_NN_umolL,-0.10998660760238083
2,min_pH,-0.05592421469556466
2,max_pH,-1.1738904194069866
2,mean_pH,-1.2005401668209863
2,range_pH,-0.6081411484201757
2,cv_pH,-0.4351115061496098
2,min_Phosphate_umolL,0.04050629495418427
2,max_Phosphate_umolL,0.4831636358172142
2,mean_Phosphate_umolL,-0.1441446115578748
2,range_Phosphate_umolL,0.41128068364620685
2,cv_Phosphate_umolL,0.5624539966413893
2,min_Salinity,-0.6656986060646294
2,max_Salinity,0
2,mean_Salinity,-0.5694509751893739
