CowTagID,Predictor_measurement,Predictor_value
10,max_Silicate_umolL,3.66
10,mean_Silicate_umolL,1.7775
10,range_Silicate_umolL,2.7800000000000002
10,cv_Silicate_umolL,0.7252566934967588
10,min_pH,8.03632213
10,max_pH,8.073036027
10,mean_pH,8.0466930875
10,range_pH,0.03671389700000027
10,cv_pH,0.0022002211606200707
11,min_Ammonia_umolL,0.36
11,max_Ammonia_umolL,1.02
11,mean_Ammonia_umolL,0.5475
11,range_Ammonia_umolL,0.66
11,cv_Ammonia_umolL,0.5770793526202586
11,min_NN_umolL,0.34
11,max_NN_umolL,1.11
11,mean_NN_umolL,0.615
11,range_NN_umolL,0.77
11,cv_NN_umolL,0.5513290215863886
11,min_Phosphate_umolL,0.2
11,max_Phosphate_umolL,0.23
11,mean_Phosphate_umolL,0.2125
11,range_Phosphate_umolL,0.03
11,cv_Phosphate_umolL,0.05921438772761373
11,min_Salinity,36.56
11,max_Salinity,36.89
11,mean_Salinity,36.795
11,range_Salinity,0.3299999999999983
11,cv_Salinity,0.004271296003669401
11,min_Silicate_umolL,0.66
11,max_Silicate_umolL,7.61
11,mean_Silicate_umolL,2.61
11,range_Silicate_umolL,6.95
11,cv_Silicate_umolL,1.279521405366305
11,min_pH,8.03531837
11,max_pH,8.057878901
11,mean_pH,8.0483502515
11,range_pH,0.022560530999999884
11,cv_pH,0.001365266915858741
12,min_Ammonia_umolL,0.26
12,max_Ammonia_umolL,0.76
12,mean_Ammonia_umolL,0.4475
12,range_Ammonia_umolL,0.5
12,cv_Ammonia_umolL,0.534875479193485
12,min_NN_umolL,0.44
12,max_NN_umolL,0.75
12,mean_NN_umolL,0.5675
12,range_NN_umolL,0.31
12,cv_NN_umolL,0.23701368513785817
12,min_Phosphate_umolL,0.19
12,max_Phosphate_umolL,0.24
12,mean_Phosphate_umolL,0.22
12,range_Phosphate_umolL,0.04999999999999999
12,cv_Phosphate_umolL,0.09819304088496757
12,min_Salinity,36.41
12,max_Salinity,37
12,mean_Salinity,36.8125
12,range_Salinity,0.5900000000000034
12,cv_Salinity,0.007374182428853069
12,min_Silicate_umolL,0.85
12,max_Silicate_umolL,4.18
12,mean_Silicate_umolL,1.88
12,range_Silicate_umolL,3.3299999999999996
12,cv_Silicate_umolL,0.836747946155894
12,min_pH,8.027667865
12,max_pH,8.063808704
12,mean_pH,8.04496947375
12,range_pH,0.03614083899999976
12,cv_pH,0.002001035541137758
13,min_Ammonia_umolL,0.35
13,max_Ammonia_umolL,0.49
13,mean_Ammonia_umolL,0.4066666666666667
13,range_Ammonia_umolL,0.14
13,cv_Ammonia_umolL,0.18125692120898346
13,min_NN_umolL,0.53
13,max_NN_umolL,0.59
13,mean_NN_umolL,0.5566666666666666
13,range_NN_umolL,0.05999999999999994
13,cv_NN_umolL,0.05488114604737527
13,min_Phosphate_umolL,0.21
13,max_Phosphate_umolL,0.24
13,mean_Phosphate_umolL,0.22333333333333333
13,range_Phosphate_umolL,0.03
13,cv_Phosphate_umolL,0.06839665216351999
13,min_Salinity,36.73
13,max_Salinity,37
13,mean_Salinity,36.876666666666665
