CowTagID,Location,lat,lon,Date,Time,DateTime,Tide,Day_Night,Salinity,Temperature,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL
12,Varari,-17.54030996,-149.900112,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,36.9,26.93,2347.556318,8.036389822,0.24,0.85,0.5,0.51
12,Varari,-17.54030996,-149.900112,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.41,28.01,2343.323603,8.063808704,0.23,4.18,0.75,0.26
12,Varari,-17.54030996,-149.900112,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.94,27.03,2364.360097,8.027667865,0.19,1.61,0.58,0.76
13,Varari,-17.540749,-149.899133,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,37,27.79,2353.16399,8.054785238,0.22,1.63,0.53,0.35
13,Varari,-17.540749,-149.899133,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.73,28.22,2332.892346,8.072474817,0.24,1.89,0.59,0.38
13,Varari,-17.540749,-149.899133,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.9,27.13,2368.647558,8.025560651,0.21,1.07,0.55,0.49
14,Varari,-17.54039696,-149.899396,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.97,27.39,2335.097209,8.034252571,0.22,3.07,0.47,0.45
14,Varari,-17.54039696,-149.899396,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,36.84,26.72,2307.005078,8.053432475,0.22,1.45,0.47,0.32
14,Varari,-17.54039696,-149.899396,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.71,27.96,2316.281087,8.099315001,0.23,3.66,0.6,0.69
14,Varari,-17.54039696,-149.899396,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.71,26.75,2382.973932,8.028336898,0.22,2.33,0.44,0.34
15,Varari,-17.54014299,-149.900183,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.99,27.6,2315.246435,8.061278128,0.22,1.22,0.53,0.4
15,Varari,-17.54014299,-149.900183,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,36.89,26.9,2313.624865,7.981840619,0.18,0.65,0.4,0.47
