PlateID,CowTagID,SurfaceAreaInitial,NetPhotoInitial,GrossPhotoInitial,RespirationInitial,FragmentID,SurfaceAreaFinal,NetPhotoFinal,GrossPhotoFinal,RespirationFinal,Treatment,pc_change_NP,pc_change_GP,pc_change_R
18,218,16.52884615384615,9.435801006161054e-4,0.00139039362844928,4.468135278331809e-4,18c,18.932692307692317,4.29051890961438e-4,9.185716921186524e-4,4.895198011572146e-4,Conspecific,-54.529362087936036,-33.93441444757305,9.557963370343199
18,218,16.52884615384615,9.435801006161054e-4,0.00139039362844928,4.468135278331809e-4,18h,24.22115384615385,5.822217680080742e-4,0.00103724409883357,4.550223308254984e-4,Heterospecific,-38.29651901010675,-25.399248269684705,1.8371876590500804
18,218,16.52884615384615,9.435801006161054e-4,0.00139039362844928,4.468135278331809e-4,18s,19.413461538461537,4.8037841058301865e-4,9.978617675312428e-4,5.174833569482241e-4,Space,-49.08981121270381,-28.23170740186949,15.816403200179737
2,202,16.048076923076927,9.9004207067146e-4,0.00135006752459599,3.6002545392452203e-4,2m,21.33653846153844,0.00113996947618388,0.00156842091412253,4.284514379386466e-4,Monoculture,15.143538840802723,16.173516179635712,19.00587396480856
2,202,16.048076923076927,9.9004207067146e-4,0.00135006752459599,3.6002545392452203e-4,2s,13.60750853242321,8.246623589029954e-4,0.0011317752870041,3.071129281011126e-4,Space,-16.70431153054959,-16.16898663325854,-14.696884691520273
2,202,16.048076923076927,9.9004207067146e-4,0.00135006752459599,3.6002545392452203e-4,2c,13.64423076923076,8.353452599931495e-4,0.00125368545330141,4.1834019330826665e-4,Conspecific,-15.625276466624594,-7.139055605638885,16.19739347539857
2,202,16.048076923076927,9.9004207067146e-4,0.00135006752459599,3.6002545392452203e-4,2h,11.721153846153836,9.150732292658076e-4,0.00142980758969142,5.147343604256123e-4,Heterospecific,-7.57228845384394,5.906376062137506,42.971657924365644
8,208,15.99658703071672,0.00131106206778383,0.00201288845343332,7.018263856494928e-4,8h,20.85576923076924,0.00113552574000623,0.00147096428892019,3.3543854891396183e-4,Heterospecific,-13.388864805944694,-26.922712164640178,-52.204910534457014
8,208,15.99658703071672,0.00131106206778383,0.00201288845343332,7.018263856494928e-4,8c,21.754266211604108,0.00127293447255036,0.00167220804148227,3.992735689319156e-4,Conspecific,-2.908145706474399,-16.92495236732876,-43.109353381974245
11,211,14.972696245733776,5.819347908896847e-4,9.70802509709042e-4,3.888677188193573e-4,11h,14.125000000000004,8.089559911304459e-4,9.562037077566676e-4,1.4724771662622164e-4,Heterospecific,39.01145004471761,-1.5037870016168164,-62.13424012842182
