fragment.ID.full,Intercept,umol.L.sec,Temp.C,fragment.ID,run,surf.area.cm2,volume,umol.sec,BLANK,blank.rate,umol.sec.corr,umol.cm2.hr
PI_Ch1_0_N,195.93975000000006,-0.0022500000000005116,28.31416666666667,N,0,14.125,0.655,-0.001473750000000335,0,3.62785714285192e-4,-0.001836535714285527,-0.46807281921613436
PI_Ch1_144_N,203.77416476190487,4.542857142847756e-4,28.27,N,144,14.125,0.655,2.9755714285652804e-4,0,-8.900000000042411e-5,3.865571428569521e-4,0.09852075853345328
PI_Ch1_219_N,204.36615000000003,6.499999999996048e-4,28.504,N,219,14.125,0.655,4.2574999999974117e-4,0,-1.4890000000011627e-4,5.746499999998574e-4,0.14645946902651233
PI_Ch1_300_N,206.0123199999999,0.0012800000000006615,28.415000000000003,N,300,14.125,0.655,8.384000000004332e-4,0,8.875714285696628e-5,7.49642857143467e-4,0.191059418457804
PI_Ch1_435_N,204.57653,0.0013700000000002887,28.435333333333332,N,435,14.125,0.655,8.973500000001892e-4,0,-4.2214999999996784e-4,0.001319500000000157,0.33629734513278337
PI_Ch1_57_N,201.48904,4.5999999999992276e-4,28.199333333333332,N,57,14.125,0.655,3.0129999999994943e-4,0,2.1614999999944104e-4,8.515000000050839e-5,0.02170194690278444
PI_Ch1_573_N,206.42304000000013,0.003959999999999133,28.461000000000002,N,573,14.125,0.655,0.002593799999999432,0,-8.698000000001589e-4,0.0034635999999995913,0.8827582300883914
PI_Ch1_809_N,207.74766499999998,0.0053350000000003195,28.698999999999998,N,809,14.125,0.655,0.0034944250000002093,0,-3.663000000003102e-4,0.0038607250000005193,0.9839723893806633
PI_Ch2_0_T,185.995675,-0.005175000000000126,28.241333333333333,T,0,16.04807692,0.645,-0.0033378750000000812,0,3.62785714285192e-4,-0.003700660714285273,-0.8301542071264563
PI_Ch2_144_T,194.87204,-0.0012399999999999523,28.269,T,144,16.04807692,0.645,-7.997999999999692e-4,0,-8.900000000042411e-5,-7.107999999995451e-4,-0.15945088079739603
PI_Ch2_219_T,197.40922499999994,7.75000000000432e-4,28.491,T,219,16.04807692,0.645,4.998750000002786e-4,0,-1.4890000000011627e-4,6.48775000000395e-4,0.1455370641382383
PI_Ch2_300_T,198.99268499999994,0.002015000000000384,28.365000000000002,T,300,16.04807692,0.645,0.0012996750000002478,0,8.875714285696628e-5,0.0012109178571432814,0.27164029107331905
PI_Ch2_435_T,200.32449499999993,0.0039050000000005972,28.43,T,435,16.04807692,0.645,0.0025187250000003854,0,-4.2214999999996784e-4,0.0029408750000003534,0.6597145597431042
PI_Ch2_57_T,191.4201571428572,-0.0027285714285719483,28.19,T,57,16.04807692,0.645,-0.0017599285714289066,0,2.1614999999944104e-4,-0.001976078571428348,-0.443285690404209
PI_Ch2_573_T,201.51376000000005,0.005739999999999554,28.493,T,573,16.04807692,0.645,0.003702299999999712,0,-8.698000000001589e-4,0.004572099999999871,1.025640647290687
PI_Ch2_809_T,204.504835,0.005964999999999634,28.744,T,809,16.04807692,0.645,0.003847424999999764,0,-3.663000000003102e-4,0.004213725000000074,0.9452478372094111
PI_Ch3_0_U,160.96896499999997,-0.0027649999999999862,28.278000000000002,U,0,19.41346154,0.655,-0.001811074999999991,0,3.62785714285192e-4,-0.0021738607142851828,-0.4031171131074164
PI_Ch3_144_U,171.713385,6.150000000002363e-4,28.334,U,144,19.41346154,0.655,4.028250000001548e-4,0,-8.900000000042411e-5,4.91825000000579e-4,0.09120320950253802
PI_Ch3_219_U,174.73328499999997,0.0025150000000004977,28.580000000000002,U,219,19.41346154,0.655,0.0016473250000003262,0,-1.4890000000011627e-4,0.0017962250000004424,0.33308897471365595
PI_Ch3_300_U,176.80106,0.005639999999999929,28.425,U,300,19.41346154,0.655,0.0036941999999999535,0,8.875714285696628e-5,0.003605442857142987,0.668587323232967
PI_Ch3_435_U,177.85991500000006,0.005584999999999524,28.505,U,435,19.41346154,0.655,0.0036581749999996887,0,-4.2214999999996784e-4,0.004080324999999657,0.7566486775031241
PI_Ch3_57_U,167.76779714285726,-0.0013685714285724597,28.28,U,57,19.41346154,0.655,-8.964142857149611e-4,0,2.1614999999944104e-4,-0.0011125642857144021,-0.20631206960795553
PI_Ch3_573_U,179.883625,0.0076750000000000715,28.583000000000002,U,573,19.41346154,0.655,0.005027125000000047,0,-8.698000000001589e-4,0.005896925000000206,1.0935159583086256
PI_Ch3_809_U,181.181905,0.007695000000000221,28.838,U,809,19.41346154,0.655,0.005040225000000145,0,-3.663000000003102e-4,0.005406525000000455,1.0025769984347488
PI_Ch4_0_D,187.71956499999996,-0.0029649999999997404,28.157833333333333,D,0,13.60750853,0.635,-0.0018827749999998351,0,3.62785714285192e-4,-0.002245560714285027,-0.5940851371581758
PI_Ch4_144_D,196.20719499999993,3.050000000007458e-4,28.21483333333333,D,144,13.60750853,0.635,1.9367500000047358e-4,0,-8.900000000042411e-5,2.826750000008977e-4,0.07478444696615094
PI_Ch4_219_D,198.54568499999996,7.150000000001846e-4,28.477,D,219,13.60750853,0.635,4.540250000001172e-4,0,-1.4890000000011627e-4,6.029250000002335e-4,0.15950972914810588
PI_Ch4_300_D,199.6627749999999,0.0039250000000005955,28.329833333333333,D,300,13.60750853,0.635,0.0024923750000003784,0,8.875714285696628e-5,0.002403617857143412,0.635900706337186
PI_Ch4_435_D,200.594405,0.005594999999999856,28.409,D,435,13.60750853,0.635,0.003552824999999909,0,-4.2214999999996784e-4,0.003974974999999876,1.0516186683587958
PI_Ch4_57_D,193.70887238095239,-6.285714285724094e-5,28.147000000000002,D,57,13.60750853,0.635,-3.9914285714348e-5,0,2.1614999999944104e-4,-2.56064285713789e-4,-0.06774432119864639
PI_Ch4_573_D,201.2772661904763,0.0036385714285707416,28.486,D,573,13.60750853,0.635,0.0023104928571424208,0,-8.698000000001589e-4,0.0031802928571425795,0.8413777041162205
PI_Ch4_809_D,202.5497150000001,0.0032849999999990586,28.761,D,809,13.60750853,0.635,0.0020859749999994023,0,-3.663000000003102e-4,0.0024522749999997123,0.6487734312666982
PI_Ch5_0_E,187.338535,-0.003835000000000476,28.041833333333333,E,0,15.31399317,0.65,-0.0024927500000003094,0,3.62785714285192e-4,-0.0028555357142855016,-0.6712768157403982
PI_Ch5_144_E,195.7055749999999,-5.749999999989085e-4,28.051000000000002,E,144,15.31399317,0.65,-3.7374999999929056e-4,0,-8.900000000042411e-5,-2.847499999988664e-4,-0.0669387787114913
PI_Ch5_219_E,198.14942999999988,0.0026700000000010955,28.334,E,219,15.31399317,0.65,0.0017355000000007122,0,-1.4890000000011627e-4,0.0018844000000008284,0.4429830890412355
PI_Ch5_300_E,199.65621499999995,5.850000000003773e-4,28.204,E,300,15.31399317,0.65,3.8025000000024525e-4,0,8.875714285696628e-5,2.9149285714327895e-4,0.06852388361851439
PI_Ch5_435_E,199.87731761904777,0.002872857142856077,28.281833333333335,E,435,15.31399317,0.65,0.0018673571428564502,0,-4.2214999999996784e-4,0.002289507142856418,0.5382153186818422
PI_Ch5_57_E,192.60784666666677,-0.0011800000000006224,28.054000000000002,E,57,15.31399317,0.65,-7.670000000004046e-4,0,2.1614999999944104e-4,-9.831499999998457e-4,-0.23111803438263154
PI_Ch5_573_E,200.14478499999996,0.005515000000000611,28.362,E,573,15.31399317,0.65,0.0035847500000003975,0,-8.698000000001589e-4,0.004454550000000557,1.047171682916586
