Run,Well_ID,Fragment_type,Fragment_ID,Replicate_ID
1,G6,ST_POST,6m,3
1,G7,ST_POST,7m,1
1,G8,ST_POST,7m,2
1,G9,ST_POST,7m,3
1,G10,ST_POST,9m,1
1,G11,ST_POST,9m,2
1,G12,ST_POST,9m,3
1,H1,ST_POST,11m,1
1,H2,ST_POST,11m,2
1,H3,ST_POST,11m,3
1,H4,ST_POST,12m,1
1,H5,ST_POST,12m,2
1,H6,ST_POST,12m,3
1,H7,ST_POST,13m,1
1,H8,ST_POST,13m,2
1,H9,ST_POST,13m,3
1,H10,ST_POST,14m,1
1,H11,ST_POST,14m,2
1,H12,ST_POST,14m,3
2,A1,ST_POST,BLANK,1
2,A2,ST_POST,BLANK,2
2,A3,ST_POST,BLANK,3
2,A4,ST_POST,15m,1
2,A5,ST_POST,15m,2
2,A6,ST_POST,15m,3
2,A7,ST_POST,16m,1
2,A8,ST_POST,16m,2
2,A9,ST_POST,16m,3
2,A10,ST_POST,19m,1
2,A11,ST_POST,19m,2
2,A12,ST_POST,19m,3
2,B1,ST_POST,20m,1
2,B2,ST_POST,20m,2
2,B3,ST_POST,20m,3
2,B4,ST_POST,1s,1
2,B5,ST_POST,1s,2
2,B6,ST_POST,1s,3
2,B7,ST_POST,2s,1
2,B8,ST_POST,2s,2
2,B9,ST_POST,2s,3
2,B10,ST_POST,3s,1
2,B11,ST_POST,3s,2
2,B12,ST_POST,3s,3
2,C1,ST_POST,4s,1
2,C2,ST_POST,4s,2
2,C3,ST_POST,4s,3
2,C4,ST_POST,5s,1
2,C5,ST_POST,5s,2
2,C6,ST_POST,5s,3
2,C7,ST_POST,6s,1
2,C8,ST_POST,6s,2
2,C9,ST_POST,6s,3
2,C10,ST_POST,7s,1
2,C11,ST_POST,7s,2
2,C12,ST_POST,7s,3
2,D1,ST_POST,9s,1
2,D2,ST_POST,9s,2
2,D3,ST_POST,9s,3
2,D4,ST_POST,10s,1
2,D5,ST_POST,10s,2
2,D6,ST_POST,10s,3
2,D7,ST_POST,11s,1
2,D8,ST_POST,11s,2
2,D9,ST_POST,11s,3
2,D10,ST_POST,13s,1
2,D11,ST_POST,13s,2
2,D12,ST_POST,13s,3
2,E1,ST_POST,14s,1
2,E2,ST_POST,14s,2
2,E3,ST_POST,14s,3
2,E4,ST_POST,15s,1
2,E5,ST_POST,15s,2
2,E6,ST_POST,15s,3
2,E7,ST_POST,16s,1
2,E8,ST_POST,16s,2
