Fragment_type,FragmentID,Row,Column,Volume(?L):,sym_FSC Events/?L(V),sym_SSC Events/?L(V),sym_FSC Events,sym_SSC Events,Notes
ST_POST,10c,A,1,150,22.05,21.41,3307,3211,
ST_POST,10h,A,2,150,53.27,49.75,7992,7464,
ST_POST,10s,A,3,150,30.27,29.6,4541,4441,
ST_POST,11c,A,4,150.1,50.65,50.86,7600,7632,
ST_POST,11h,A,5,150.1,31.59,31.67,4740,4752,
ST_POST,11m,A,6,150,25.64,25.2,3847,3780,
ST_POST,11s,A,7,150.1,39.86,39.37,5983,5909,
ST_POST,12c,A,8,150,25.83,25.89,3875,3884,
ST_POST,12h,A,9,150.1,38.39,37.34,5761,5604,
ST_POST,12m,A,10,150.1,30.21,28.33,4534,4253,
ST_POST,13c,A,11,150,61.21,58.72,9183,8809,
ST_POST,13h,A,12,150.1,33.57,32.87,5039,4934,
ST_POST,13m,B,1,150.1,26.67,22.52,4003,3380,
ST_POST,13s,B,2,150,50.07,48.35,7511,7252,
ST_POST,14h,B,3,150.1,86.84,81.47,13033,12227,
ST_POST,14m,B,4,150,76.42,69.55,11463,10433,
ST_POST,14s,B,5,150,57.84,56.26,8678,8440,
ST_POST,15c,B,6,150.1,77.68,75.77,11657,11371,
ST_POST,15h,B,7,150,31.06,31.4,4659,4710,
ST_POST,15m,B,8,150,44.93,43.72,6741,6559,
ST_POST,15s,B,9,150,65.85,65.03,9880,9758,
ST_POST,16c,B,10,150,128.43,125.88,19268,18886,"Too much noise to discern symbiodiniaceae population, would not trust data"
ST_POST,16h,B,11,150,90.18,85.89,13531,12887,
ST_POST,16m,B,12,150,35.85,33.58,5379,5038,
ST_POST,16s,C,1,150,54.53,46.86,8181,7031,"Too much noise to discern symbiodiniaceae population, would not trust data"
ST_POST,17c,C,2,150,83.04,74.62,12459,11196,
ST_POST,17h,C,3,150,60.77,56.44,9117,8468,
ST_POST,17s,C,4,150,45.94,41.05,6893,6159,
ST_POST,18c,C,5,150,36.62,34.9,5494,5236,
ST_POST,18h,C,6,150.1,95.52,91.08,14333,13667,
ST_POST,18s,C,7,150,94.69,97.27,14205,14592,use_ssc
ST_POST,19c,C,8,150,26.31,26.89,3947,4034,
ST_POST,19h,C,9,150,57.4,57.89,8612,8685,
ST_POST,19m,C,10,150,14.39,14.48,2159,2173,
ST_POST,19s,C,11,150.1,45.24,44.07,6790,6614,
ST_POST,1c,C,12,150,65.83,64.67,9877,9703,
ST_POST,1h,D,1,150,49.27,49.47,7393,7422,
ST_POST,1m,D,2,150,59.62,57.54,8943,8632,
ST_POST,1s,D,3,150,59.07,59.31,8862,8898,
