Fragment_type,FragmentID,Row,Column,Volume(?L):,sym_FSC Events/?L(V),sym_SSC Events/?L(V),sym_FSC Events,sym_SSC Events,Notes
ST_POST,20c,D,4,150.1,63.13,57.98,9474,8702,
ST_POST,20h,D,5,150,52.8,50.56,7921,7585,
ST_POST,20m,D,6,150.1,4.39,4.47,659,671,
ST_POST,20s,D,7,150,78.91,75.42,11839,11315,
ST_POST,2c,D,8,150,119.89,116.93,17986,17542,
ST_POST,2h,D,9,150,44.63,44.2,6695,6630,
ST_POST,2m,D,10,150.1,88,85.77,13212,12876,
ST_POST,2s,D,11,150,30.34,30.17,4552,4527,
ST_POST,3c,D,12,150,57.01,54.16,8554,8127,
ST_POST,3s,E,1,150.1,41.77,39.58,6270,5940,
ST_POST,4c,E,2,150,49.14,44.92,7373,6739,
ST_POST,4h,E,3,150,73.68,66.54,11055,9983,
ST_POST,4m,E,4,150,70.13,67.02,10521,10054,
ST_POST,4s,E,5,150,79.69,77.69,11956,11655,
ST_POST,5c,E,6,150.1,37.86,36.93,5682,5542,
ST_POST,5h,E,7,150.1,65.2,63.23,9784,9488,
ST_POST,5m,E,8,150,48.07,46.45,7211,6968,
ST_POST,5s,E,9,150,54.2,53.25,8132,7989,
ST_POST,6c,E,10,150.1,64.54,65.88,9691,9891,
ST_POST,6h,E,11,150.1,39.47,39.72,5925,5962,
ST_POST,6m,E,12,150,55.87,56.86,8381,8529,
ST_POST,6s,F,1,150,123.66,118.85,18552,17830,
ST_POST,7c,F,2,150,122.83,121.81,18429,18276,
ST_POST,7h,F,3,150,145.13,129.39,21775,19414,
ST_POST,7m,F,4,150,83.88,79.14,12583,11872,
ST_POST,7s,F,5,150.1,92.08,83.66,13818,12554,
ST_POST,8c,F,6,150,52.73,51.34,7911,7702,
ST_POST,8h,F,7,150,17.9,19.52,2685,2928,
ST_POST,9c,F,8,150,21.6,20.33,3241,3050,
ST_POST,9h,F,9,150,17.19,15.71,2579,2357,
ST_POST,9m,F,10,150,27.12,25.96,4069,3894,
ST_POST,9s,F,11,150.1,5.27,5.35,791,803,
ST_PRE,T,F,12,150,17.74,18.03,2661,2705,
ST_PRE,U,G,1,150.1,97.71,95.17,14662,14281,
ST_PRE,G,G,2,150.1,51.3,48.29,7698,7246,
ST_PRE,W,G,3,150.1,81.2,85.04,12184,12761,use_ssc
ST_PRE,X,G,4,150,27.25,26.66,4088,3999,
ST_PRE,D,G,5,150,56.5,54.9,8478,8238,
ST_PRE,S,G,6,150,9.8,9.73,1470,1459,
ST_PRE,H,G,7,150,48.57,45.4,7286,6811,
ST_PRE,N,G,8,150,65.66,59.58,9850,8938,
ST_PRE,V,G,9,150.8,0.04,0.04,6,6,"Extremely low counts, potential error with machine"
ST_PRE,I,G,10,150,49.5,49.28,7425,7392,
ST_PRE,L,G,11,150,31.24,30.72,4688,4609,
ST_PRE,E,G,12,150.1,41.4,41.21,6215,6186,
ST_PRE,C,H,1,150.1,44.37,44.19,6660,6632,
ST_PRE,J,H,2,150.1,85.64,80.79,12853,12125,
ST_PRE,O,H,3,150,44.69,42.95,6704,6443,
ST_PRE,F,H,4,150,61.17,59.78,9176,8967,
ST_PRE,M,H,5,150,61.45,59.66,9220,8952,
ST_PRE,R,H,6,150,25.36,26.52,3805,3978,
ST_PRE,B,H,7,150.1,1.47,1.47,220,221,"Extremely low counts, potential error with machine"
,,H,8,,,,,,
,,H,9,,,,,,
,milliq,H,10,150.2,0.41,0.42,62,63,
,milliq,H,11,151.2,0,0,0,0,
,milliq,H,12,150.2,0,0,0,0,
